Algorithm,Data Type,Size,Time (ms),Comparisons
"MSDRadixSortWithSwitch","reverse_sorted",1300,0.3121,21410
"QuickSort","reverse_sorted",1400,10.46,979300
"MergeSort","reverse_sorted",1400,1.624,7044
"StringQuickSort","reverse_sorted",1400,0.3078,38924
"StringMergeSort","reverse_sorted",1400,1.8596,7044
"MSDRadixSort","reverse_sorted",1400,0.983,3405
"MSDRadixSortWithSwitch","reverse_sorted",1400,0.3439,23278
"QuickSort","reverse_sorted",1500,12.1831,1124250
"MergeSort","reverse_sorted",1500,1.7664,7664
"StringQuickSort","reverse_sorted",1500,0.3532,45009
"StringMergeSort","reverse_sorted",1500,2.0818,7664
"MSDRadixSort","reverse_sorted",1500,1.0848,3648
"MSDRadixSortWithSwitch","reverse_sorted",1500,0.3739,25117
"QuickSort","reverse_sorted",1600,13.3753,1279200
"MergeSort","reverse_sorted",1600,1.8568,8256
"StringQuickSort","reverse_sorted",1600,0.3892,49444
"StringMergeSort","reverse_sorted",1600,2.2862,8256
"MSDRadixSort","reverse_sorted",1600,1.122,3882
"MSDRadixSortWithSwitch","reverse_sorted",1600,0.4343,26783
"QuickSort","reverse_sorted",1700,15.5751,1444150
"MergeSort","reverse_sorted",1700,1.967,8836
"StringQuickSort","reverse_sorted",1700,0.4507,56087
"StringMergeSort","reverse_sorted",1700,2.253,8836
"MSDRadixSort","reverse_sorted",1700,1.1534,4123
"MSDRadixSortWithSwitch","reverse_sorted",1700,0.418,28689
"QuickSort","reverse_sorted",1800,17.1085,1619100
"MergeSort","reverse_sorted",1800,2.0784,9508
"StringQuickSort","reverse_sorted",1800,0.4675,59546
"StringMergeSort","reverse_sorted",1800,2.3244,9508
"MSDRadixSort","reverse_sorted",1800,1.2219,4356
"MSDRadixSortWithSwitch","reverse_sorted",1800,0.445,30180
"QuickSort","reverse_sorted",1900,19.1933,1804050
"MergeSort","reverse_sorted",1900,2.1993,10144
"StringQuickSort","reverse_sorted",1900,0.5206,66814
"StringMergeSort","reverse_sorted",1900,2.7327,10144
"MSDRadixSort","reverse_sorted",1900,1.1808,4599
"MSDRadixSortWithSwitch","reverse_sorted",1900,0.5008,32096
"QuickSort","reverse_sorted",2000,21.3204,1999000
"MergeSort","reverse_sorted",2000,2.3469,10864
"StringQuickSort","reverse_sorted",2000,0.5637,71148
"StringMergeSort","reverse_sorted",2000,2.6753,10864
"MSDRadixSort","reverse_sorted",2000,1.3267,4841
"MSDRadixSortWithSwitch","reverse_sorted",2000,0.4799,34051
"QuickSort","reverse_sorted",2100,23.3164,2203950
"MergeSort","reverse_sorted",2100,2.5123,11456
"StringQuickSort","reverse_sorted",2100,0.6027,77537
"StringMergeSort","reverse_sorted",2100,2.7635,11456
"MSDRadixSort","reverse_sorted",2100,1.4354,5087
"MSDRadixSortWithSwitch","reverse_sorted",2100,0.5205,35486
"QuickSort","reverse_sorted",2200,25.2347,2418900
"MergeSort","reverse_sorted",2200,2.6542,11940
"StringQuickSort","reverse_sorted",2200,0.6607,84120
"StringMergeSort","reverse_sorted",2200,3.0618,11940
"MSDRadixSort","reverse_sorted",2200,1.5041,5339
"MSDRadixSortWithSwitch","reverse_sorted",2200,0.5288,37256
"QuickSort","reverse_sorted",2300,27.7746,2643850
"MergeSort","reverse_sorted",2300,2.7398,12512
"StringQuickSort","reverse_sorted",2300,0.7023,90366
"StringMergeSort","reverse_sorted",2300,2.9843,12512
"MSDRadixSort","reverse_sorted",2300,1.3757,5590
"MSDRadixSortWithSwitch","reverse_sorted",2300,0.6597,38644
"QuickSort","reverse_sorted",2400,30.9165,2878800
"MergeSort","reverse_sorted",2400,2.8804,13040
"StringQuickSort","reverse_sorted",2400,0.7661,98109
"StringMergeSort","reverse_sorted",2400,3.2014,13040
"MSDRadixSort","reverse_sorted",2400,1.6547,5826
"MSDRadixSortWithSwitch","reverse_sorted",2400,0.5719,40122
"QuickSort","reverse_sorted",2500,33.0263,3123750
"MergeSort","reverse_sorted",2500,2.939,13652
"StringQuickSort","reverse_sorted",2500,0.8172,105737
"StringMergeSort","reverse_sorted",2500,3.4912,13652
"MSDRadixSort","reverse_sorted",2500,1.4972,6066
"MSDRadixSortWithSwitch","reverse_sorted",2500,0.5867,41987
"QuickSort","reverse_sorted",2600,35.7622,3378700
"MergeSort","reverse_sorted",2600,3.1035,14260
"StringQuickSort","reverse_sorted",2600,0.8728,112011
"StringMergeSort","reverse_sorted",2600,3.6286,14260
"MSDRadixSort","reverse_sorted",2600,1.5613,6308
"MSDRadixSortWithSwitch","reverse_sorted",2600,0.6065,43583
"QuickSort","reverse_sorted",2700,40.6258,3643650
"MergeSort","reverse_sorted",2700,3.275,14840
"StringQuickSort","reverse_sorted",2700,0.9266,119413
"StringMergeSort","reverse_sorted",2700,3.6204,14840
"MSDRadixSort","reverse_sorted",2700,1.6399,6553
"MSDRadixSortWithSwitch","reverse_sorted",2700,0.6418,45319
"QuickSort","reverse_sorted",2800,41.7662,3918600
"MergeSort","reverse_sorted",2800,3.1845,15488
"StringQuickSort","reverse_sorted",2800,1.0003,128449
"StringMergeSort","reverse_sorted",2800,3.9158,15488
"MSDRadixSort","reverse_sorted",2800,1.6641,6794
"MSDRadixSortWithSwitch","reverse_sorted",2800,0.655,46885
"QuickSort","reverse_sorted",2900,44.2314,4203550
"MergeSort","reverse_sorted",2900,3.4424,16120
"StringQuickSort","reverse_sorted",2900,1.1291,135898
"StringMergeSort","reverse_sorted",2900,3.8861,16120
"MSDRadixSort","reverse_sorted",2900,1.9398,7035
"MSDRadixSortWithSwitch","reverse_sorted",2900,0.6935,48492
"QuickSort","reverse_sorted",3000,47.6595,4498500
"MergeSort","reverse_sorted",3000,3.6588,16828
"StringQuickSort","reverse_sorted",3000,1.1462,142680
"StringMergeSort","reverse_sorted",3000,4.0088,16828
"MSDRadixSort","reverse_sorted",3000,1.7712,7269
"MSDRadixSortWithSwitch","reverse_sorted",3000,0.6985,50181
"QuickSort","almost_sorted",100,0.0541,4950
"MergeSort","almost_sorted",100,0.0715,356
"StringQuickSort","almost_sorted",100,0.0082,753
"StringMergeSort","almost_sorted",100,0.0866,356
"MSDRadixSort","almost_sorted",100,0.0557,236
"MSDRadixSortWithSwitch","almost_sorted",100,0.0182,728
"QuickSort","almost_sorted",200,0.202,19702
"MergeSort","almost_sorted",200,0.3085,854
"StringQuickSort","almost_sorted",200,0.0176,1786
"StringMergeSort","almost_sorted",200,0.2009,854
"MSDRadixSort","almost_sorted",200,0.1171,478
