Algorithm,Data Type,Size,Time (ms),Comparisons
"QuickSort","almost_sorted",1700,8.2438,820468
"MergeSort","almost_sorted",1700,1.8955,13062
"StringQuickSort","almost_sorted",1700,0.3901,49365
"StringMergeSort","almost_sorted",1700,2.1304,13062
"MSDRadixSort","almost_sorted",1700,0.9938,4100
"MSDRadixSortWithSwitch","almost_sorted",1700,0.3124,13017
"QuickSort","almost_sorted",1800,9.7378,994822
"MergeSort","almost_sorted",1800,1.844,13266
"StringQuickSort","almost_sorted",1800,0.4391,54898
"StringMergeSort","almost_sorted",1800,2.2012,13266
"MSDRadixSort","almost_sorted",1800,1.0834,4345
"MSDRadixSortWithSwitch","almost_sorted",1800,0.3261,13851
"QuickSort","almost_sorted",1900,11.6126,1179170
"MergeSort","almost_sorted",1900,1.959,13889
"StringQuickSort","almost_sorted",1900,0.4859,60174
"StringMergeSort","almost_sorted",1900,2.4115,13889
"MSDRadixSort","almost_sorted",1900,1.1285,4583
"MSDRadixSortWithSwitch","almost_sorted",1900,0.4397,14619
"QuickSort","almost_sorted",2000,13.5081,1373518
"MergeSort","almost_sorted",2000,2.1433,14788
"StringQuickSort","almost_sorted",2000,0.5243,65802
"StringMergeSort","almost_sorted",2000,2.4882,14788
"MSDRadixSort","almost_sorted",2000,1.1445,4828
"MSDRadixSortWithSwitch","almost_sorted",2000,0.3568,15435
"QuickSort","almost_sorted",2100,15.4172,1577872
"MergeSort","almost_sorted",2100,2.1932,15545
"StringQuickSort","almost_sorted",2100,0.563,71427
"StringMergeSort","almost_sorted",2100,2.6945,15545
"MSDRadixSort","almost_sorted",2100,1.4829,5078
"MSDRadixSortWithSwitch","almost_sorted",2100,0.4748,16192
"QuickSort","almost_sorted",2200,17.395,1792220
"MergeSort","almost_sorted",2200,2.3773,16473
"StringQuickSort","almost_sorted",2200,0.6119,76905
"StringMergeSort","almost_sorted",2200,2.7386,16473
"MSDRadixSort","almost_sorted",2200,1.241,5310
"MSDRadixSortWithSwitch","almost_sorted",2200,0.3924,16990
"QuickSort","almost_sorted",2300,20.2789,2016568
"MergeSort","almost_sorted",2300,2.5449,17570
"StringQuickSort","almost_sorted",2300,0.6641,82561
"StringMergeSort","almost_sorted",2300,2.9663,17570
"MSDRadixSort","almost_sorted",2300,1.3541,5555
"MSDRadixSortWithSwitch","almost_sorted",2300,0.4189,17747
"QuickSort","almost_sorted",2400,22.6409,2250922
"MergeSort","almost_sorted",2400,2.4778,18438
"StringQuickSort","almost_sorted",2400,0.7033,88603
"StringMergeSort","almost_sorted",2400,3.113,18438
"MSDRadixSort","almost_sorted",2400,1.5004,5800
"MSDRadixSortWithSwitch","almost_sorted",2400,0.4423,18566
"QuickSort","almost_sorted",2500,9.4086,936469
"MergeSort","almost_sorted",2500,2.826,19447
"StringQuickSort","almost_sorted",2500,0.7483,94524
"StringMergeSort","almost_sorted",2500,3.1376,19447
"MSDRadixSort","almost_sorted",2500,1.4559,6038
"MSDRadixSortWithSwitch","almost_sorted",2500,0.4393,19332
"QuickSort","almost_sorted",2600,11.6468,1190919
"MergeSort","almost_sorted",2600,2.7428,20418
"StringQuickSort","almost_sorted",2600,0.7938,100739
"StringMergeSort","almost_sorted",2600,3.3611,20418
"MSDRadixSort","almost_sorted",2600,1.6412,6285
"MSDRadixSortWithSwitch","almost_sorted",2600,0.4731,20111
"QuickSort","almost_sorted",2700,9.4013,952007
"MergeSort","almost_sorted",2700,2.9529,19809
"StringQuickSort","almost_sorted",2700,0.8288,105348
"StringMergeSort","almost_sorted",2700,3.4087,19809
"MSDRadixSort","almost_sorted",2700,1.5278,6526
"MSDRadixSortWithSwitch","almost_sorted",2700,0.4748,20774
"QuickSort","almost_sorted",2800,6.4357,601158
"MergeSort","almost_sorted",2800,2.931,21005
"StringQuickSort","almost_sorted",2800,0.875,111660
"StringMergeSort","almost_sorted",2800,3.5218,21005
"MSDRadixSort","almost_sorted",2800,1.7035,6767
"MSDRadixSortWithSwitch","almost_sorted",2800,0.6583,21498
"QuickSort","almost_sorted",2900,9.1973,885908
"MergeSort","almost_sorted",2900,3.4017,21679
"StringQuickSort","almost_sorted",2900,0.9249,118036
"StringMergeSort","almost_sorted",2900,3.6735,21679
"MSDRadixSort","almost_sorted",2900,1.6765,7015
"MSDRadixSortWithSwitch","almost_sorted",2900,0.5084,22245
"QuickSort","almost_sorted",3000,11.6751,1151280
"MergeSort","almost_sorted",3000,3.1299,22408
"StringQuickSort","almost_sorted",3000,0.9756,124838
